#nNodeR = 100 ,nNodeZ = 100
R Z Phi
0.00061 0.00013 1.66491e-73
0.00063 0.00013 4.53317e-74
0.00065 0.00013 1.20087e-74
0.00067 0.00013 3.09708e-75
0.00069 0.00013 7.78098e-76
0.00071 0.00013 1.90545e-76
0.00073 0.00013 4.55077e-77
0.00075 0.00013 1.06056e-77
0.00077 0.00013 2.41311e-78
0.00079 0.00013 5.36325e-79
0.00081 0.00013 1.16493e-79
0.00083 0.00013 2.47395e-80
0.00085 0.00013 5.1393e-81
0.00087 0.00013 1.04478e-81
0.00089 0.00013 2.07938e-82
0.00091 0.00013 4.05332e-83
0.00093 0.00013 7.74147e-84
0.00095 0.00013 1.44922e-84
0.00097 0.00013 2.66015e-85
0.00099 0.00013 4.78949e-86
0.00101 0.00013 8.46121e-87
0.00103 0.00013 1.46716e-87
0.00105 0.00013 2.49786e-88
0.00107 0.00013 4.1767e-89
0.00109 0.00013 6.8613e-90
0.00111 0.00013 1.10768e-90
0.00113 0.00013 1.75782e-91
0.00115 0.00013 2.74291e-92
0.00117 0.00013 4.20957e-93
0.00119 0.00013 6.35573e-94
0.00121 0.00013 9.44285e-95
0.00123 0.00013 1.38088e-95
0.00125 0.00013 1.98805e-96
0.00127 0.00013 2.81848e-97
0.00129 0.00013 3.93566e-98
0.00131 0.00013 5.41413e-99
0.00133 0.00013 7.33904e-100
0.00135 0.00013 9.80482e-101
0.00137 0.00013 1.29126e-101
0.00139 0.00013 1.67669e-102
0.00141 0.00013 2.14699e-103
0.00143 0.00013 2.71165e-104
0.00145 0.00013 3.3786e-105
0.00147 0.00013 4.15353e-106
0.00149 0.00013 5.03907e-107
0.00151 0.00013 6.03403e-108
0.00153 0.00013 7.1328e-109
0.00155 0.00013 8.32487e-110
0.00157 0.00013 9.59459e-111
0.00159 0.00013 1.09213e-111
0.00161 0.00013 1.22795e-112
0.00163 0.00013 1.364e-113
0.00165 0.00013 1.49705e-114
0.00167 0.00013 1.62369e-115
0.00169 0.00013 1.74051e-116
0.00171 0.00013 1.84422e-117
0.00173 0.00013 1.93182e-118
0.00175 0.00013 2.00076e-119
0.00177 0.00013 2.04905e-120
0.00179 0.00013 2.07534e-121
0.00181 0.00013 2.07902e-122
0.00183 0.00013 2.06021e-123
0.00185 0.00013 2.01974e-124
0.00187 0.00013 1.95912e-125
0.00189 0.00013 1.88041e-126
0.00191 0.00013 1.78616e-127
0.00193 0.00013 1.67923e-128
0.00195 0.00013 1.56267e-129
0.00197 0.00013 1.44063e-130
0.00199 0.00013 1.4328e-131
1e-05 0.00015 6.11484e-63
3e-05 0.00015 5.78701e-63
5e-05 0.00015 5.18404e-63
7e-05 0.00015 4.39719e-63
9e-05 0.00015 3.53342e-63
0.00011 0.00015 2.69158e-63
0.00013 0.00015 1.94513e-63
0.00015 0.00015 1.33476e-63
0.00017 0.00015 8.70555e-64
0.00019 0.00015 5.40235e-64
0.00021 0.00015 3.1933e-64
0.00023 0.00015 1.79996e-64
0.00025 0.00015 9.68627e-65
0.00027 0.00015 4.98231e-65
0.00029 0.00015 2.45241e-65
0.00031 0.00015 1.15651e-65
0.00033 0.00015 5.23118e-66
0.00035 0.00015 2.27212e-66
0.00037 0.00015 9.4868e-67
0.00039 0.00015 3.81182e-67
0.00041 0.00015 1.47544e-67
0.00043 0.00015 5.50706e-68
0.00045 0.00015 1.98405e-68
0.00047 0.00015 6.90604e-69
0.00049 0.00015 2.32455e-69
0.00051 0.00015 7.57289e-70
0.00053 0.00015 2.3898e-70
0.00055 0.00015 7.31119e-71
0.00057 0.00015 2.17009e-71
0.00059 0.00015 6.25397e-72
0.00061 0.00015 1.75119e-72
